"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"548","Felix Doubront","Athletics",2016,4.041,"No",0,0,0,"2e+06","",1.925e+12,"Felix","Doubront","doubrfe01","Venezuela",240,74,"L","L",2010-06-18,2015,"0","0",507500
"549","Fernando Abad","Athletics",2015,3.073,"No",1225000,850000,1038000,"1087000","",5.259e+11,"Fernando","Abad","abadfe01","D.R.",220,73,"L","L",2010-07-28,2014,"525900","525900 ",5e+05
"550","Fernando Abad","Red Sox",2017,5.073,"No",2700000,2e+06,2350000,"2e+06","Team",1.25e+12,"Fernando","Abad","abadfe01","D.R.",220,73,"L","L",2010-07-28,2016,"1250000","1250000 ",507500
"551","Fernando Rodriguez","Athletics",2014,2.142,"Yes",0,0,0,"6e+05","",4.9e+11,"Fernando","Rodriguez","rodrife02","USA",235,75,"R","R",2009-05-02,2013,"0","0",490000
"552","Fernando Rodriguez","Athletics",2015,3.053,"No",0,0,0,"635000","",6e+11,"Fernando","Rodriguez","rodrife02","USA",235,75,"R","R",2009-05-02,2014,"600000 ","600000 ",5e+05
"553","Fernando Rodriguez","Athletics",2016,4.032,"No",0,0,0,"1050000","",6.35e+11,"Fernando","Rodriguez","rodrife02","USA",235,75,"R","R",2009-05-02,2015,"635000","635000 ",507500
"554","Fernando Salas","Angels",2014,3.048,"No",0,0,0,"870000","",5.12e+11,"Fernando","Salas","salasfe01","Mexico",200,74,"R","R",2010-05-28,2013,"512000","512000 ",490000
"555","Fernando Salas","Angels",2015,4.048,"No",0,0,0,"1370000","",8.7e+11,"Fernando","Salas","salasfe01","Mexico",200,74,"R","R",2010-05-28,2014,"870000","870000 ",5e+05
"556","Fernando Salas","Angels",2016,5.048,"No",0,0,0,"2400000","",1.37e+12,"Fernando","Salas","salasfe01","Mexico",200,74,"R","R",2010-05-28,2015,"1370000","1370000 ",507500
"557","Francisco Cervelli","Yankees",2014,3.146,"No",0,0,0,"7e+05","",5.1535e+11,"Francisco","Cervelli","cervefr01","Venezuela",210,73,"R","R",2008-09-18,2013,"515350","515350 ",490000
"558","Francisco Cervelli","Pirates",2015,4.146,"No",0,0,0,"988000","",7e+11,"Francisco","Cervelli","cervefr01","Venezuela",210,73,"R","R",2008-09-18,2014,"7e+05","700000 ",5e+05
"559","Francisco Cervelli","Pirates",2016,5.146,"No",0,0,0,"3500000","",9.88e+11,"Francisco","Cervelli","cervefr01","Venezuela",210,73,"R","R",2008-09-18,2015,"987500","987500 ",507500
"560","Francisco Lindor","Indians",2019,3.113,"No",0,0,0,"10850000","",6.232e+11,"Francisco","Lindor","lindofr01","P.R.",190,71,"B","R",2015-06-14,2018,"623200 ","623200 ",545000
"561","Francisco Liriano","Twins",2012,5.104,"No",0,0,0,"5500000","",4.3e+12,"Francisco","Liriano","liriafr01","D.R.",218,75,"L","L",2005-09-05,2011,"4300000","4300000 ",414000
"562","Francisco Rodriguez","Brewers",2012,8.15,"No",0,0,0,"8e+06","",4.14e+11,"Francisco","Rodriguez","rodrifr04","Mexico",220,73,"R","R",2010-04-15,2011,"0","0",414000
"563","Frank Herrmann","Indians",2014,2.147,"Yes",0,0,0,"560000","",4.9e+11,"Frank","Herrmann","herrmfr01","USA",220,76,"L","R",2010-06-04,2013,"0","0",490000
"564","Franklin Morales","Red Sox",2012,3.007,"No",0,0,0,"850000","",4.24e+11,"Franklin","Morales","moralfr01","Venezuela",210,73,"L","L",2007-08-18,2011,"424000","424000 ",414000
"565","Franklin Morales","Red Sox",2013,4.01,"No",0,0,0,"1488000","",8.5e+11,"Franklin","Morales","moralfr01","Venezuela",210,73,"L","L",2007-08-18,2012,"850000","850000 ",480000
"566","Franklin Morales","Rockies",2014,5.007,"No",0,0,0,"1725000","",1.488e+12,"Franklin","Morales","moralfr01","Venezuela",210,73,"L","L",2007-08-18,2013,"1487500","1487500 ",490000
"567","Freddie Freeman","Braves",2014,3.033,"No",5750000,4500000,5125000,"Extension","",5.6e+11,"Freddie","Freeman","freemfr01","USA",220,77,"L","R",2010-09-01,2013,"560000","560000 ",490000
"568","Freddy Galvis","Phillies",2016,3.021,"No",0,0,0,"2e+06","",5.135e+11,"Freddy","Galvis","galvifr01","Venezuela",185,70,"B","R",2012-04-05,2015,"513500","513500 ",507500
"569","Freddy Galvis","Phillies",2017,4.021,"No",0,0,0,"4350000","",2e+12,"Freddy","Galvis","galvifr01","Venezuela",185,70,"B","R",2012-04-05,2016,"2e+06","2000000 ",507500
"570","Freddy Galvis","Padres",2018,5.021,"No",0,0,0,"6825000","",4.35e+12,"Freddy","Galvis","galvifr01","Venezuela",185,70,"B","R",2012-04-05,2017,"4350000 ","4350000 ",535000
"571","Gaby Sanchez","Pirates",2013,3.03,"No",0,0,0,"1750000","",4.83e+11,"Gaby","Sanchez","sanchga01","USA",235,73,"R","R",2008-09-17,2012,"483000","483000 ",480000
"572","Gaby Sanchez","Pirates",2014,4.025,"No",0,0,0,"2300000","",1.75e+12,"Gaby","Sanchez","sanchga01","USA",235,73,"R","R",2008-09-17,2013,"1750000","1750000 ",490000
"573","Garrett Jones","Pirates",2012,2.158,"Yes",2500000,2250000,2375000,"2250000","Team",4.555e+11,"Garrett","Jones","jonesga02","USA",235,77,"L","L",2007-05-15,2011,"455500","455500 ",414000
"574","Garrett Jones","Pirates",2013,3.158,"Yes",0,0,0,"4500000","",2.25e+12,"Garrett","Jones","jonesga02","USA",235,77,"L","L",2007-05-15,2012,"2250000","2250000 ",480000
"575","Garrett Richards","Angels",2015,2.148,"Yes",3800000,2400000,3100000,"3200000","",5.2e+11,"Garrett","Richards","richaga01","USA",210,75,"R","R",2011-08-10,2014,"520000","520000 ",5e+05
"576","Garrett Richards","Angels",2016,3.148,"No",7100000,5300000,6200000,"6425000","",3.2e+12,"Garrett","Richards","richaga01","USA",210,75,"R","R",2011-08-10,2015,"3200000","3200000 ",507500
"577","Garrett Richards","Angels",2017,4.148,"No",0,0,0,"6850000","",6.425e+12,"Garrett","Richards","richaga01","USA",210,75,"R","R",2011-08-10,2016,"6425000","6425000 ",507500
"578","Garrett Richards","Angels",2018,5.148,"No",0,0,0,"7300000","",6.85e+12,"Garrett","Richards","richaga01","USA",210,75,"R","R",2011-08-10,2017,"6850000 ","6850000 ",535000
"579","George Kontos","Giants",2016,2.171,"Yes",1350000,850000,1100000,"1150000","",5.175e+11,"George","Kontos","kontoge01","USA",225,75,"R","R",2011-09-10,2015,"517500","517500 ",507500
"580","George Kontos","Giants",2017,3.171,"No",0,0,0,"1750000","",1.15e+12,"George","Kontos","kontoge01","USA",225,75,"R","R",2011-09-10,2016,"1150000","1150000 ",507500
"581","George Kontos","Pirates",2018,4.171,"No",0,0,0,"2725000","",1.75e+12,"George","Kontos","kontoge01","USA",225,75,"R","R",2011-09-10,2017,"1750000 ","1750000 ",535000
"582","George Kottaras","Brewers",2012,2.149,"Yes",0,0,0,"7e+05","",4.4e+11,"George","Kottaras","kottage01","CAN",200,72,"L","R",2008-09-13,2011,"440000","440000 ",414000
"583","George Kottaras","Royals",2013,3.15,"No",0,0,0,"1e+06","",7e+11,"George","Kottaras","kottage01","CAN",200,72,"L","R",2008-09-13,2012,"7e+05","700000 ",480000
"584","George Kottaras","Cubs",2014,4.149,"No",0,0,0,"1075000","",1e+12,"George","Kottaras","kottage01","CAN",200,72,"L","R",2008-09-13,2013,"1e+06","1000000 ",490000
"585","George Springer","Astros",2017,2.166,"Yes",0,0,0,"3900000","",5.224e+11,"George","Springer","springe01","USA",215,75,"R","R",2014-04-16,2016,"522400","522400 ",507500
"586","George Springer","Astros",2018,3.166,"No",10500000,8500000,9500000,"Extension","",3.9e+12,"George","Springer","springe01","USA",215,75,"R","R",2014-04-16,2017,"3900000 ","3900000 ",535000
"587","Geovany Soto","Cubs",2012,4.096,"No",0,0,0,"4300000","",3e+12,"Geovany","Soto","sotoge01","P.R.",225,73,"R","R",2005-09-23,2011,"3e+06","3000000 ",414000
